dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2020-11-01 13:25:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01 13:25:00,Kota Adm. Jakarta Utara,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25 00:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,2513,0,0,0,0,808,808,0,0,0,0,0,0
2020-10-25 00:01:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10 20:00:00,Kota Adm. Jakarta Selatan,0.333333333,1,0,2,600,1269,0,0,0,325,325,0,0,0,0,0,0
2020-10-10 20:00:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
2020-10-10 20:00:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04 20:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,1068,257,0,0,0,0,0,0,0,0,0,0,0
2020-10-04 20:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22 06:00:00,Kota Adm. Jakarta Selatan,0.2,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
2020-09-22 06:00:00,Kota Adm. Jakarta Timur,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22 06:00:00,Kota Adm. Jakarta Pusat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22 06:00:00,Kota Adm. Jakarta Barat,0.2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2020-09-22 06:00:00,Kota Adm. Jakarta Utara,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04 21:17:00,Kota Adm. Jakarta Utara,1,0,0,0,200,0,0,0,0,50,50,0,0,0,0,0,0
2020-05-21 03:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21 03:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,817,0,0,0,0,248,248,0,0,0,0,0,0
